lemma	acc	dat	BAN	ON	RA	VAL	UL	BA	RÓL	HOZ	BÓL	TÓL	NÁL	VÁ	IG	ÉRT	KÉNT	KOR	SZOR	NKÉNT	ADP	ADV	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
helyez	0.069218355	-0.006484343	0.262989202	0.179148089	-0.272561251	-0.011321052	0.013074882	-0.418450934	0.001732913	0.004374921	0.007531814	0.003362848	0.097977947	0.001321004	0.002950939	0.001526958	-0.000291232	-0.002624309	0.0	0.0	-0.130613663	-0.012550342	0	2	3	3	0	2	3	2	2	3	10	4	8	6	6	0	6	6
helyezkedik	0.010830325	0.007220217	0.194080411	0.239528213	-0.679095989	0.000420355	-0.036224717	-0.105978933	-0.006478414	-0.001063251	0.012635379	0.013377182	0.050541516	0.0	-0.010088522	0.001805054	0.027075812	-0.01369863	0.001805054	0.0	0.086617873	-0.117897236	0	2	1	3	0	5	3	3	4	3	8	5	4	1	0	4	0	0
hisz	0.161296085	-0.114144392	-0.234870816	-0.008619727	0.01403497	0.004706237	0.000960229	-0.001540832	0.012494138	-0.001540832	0.01657511	0.002082356	-0.003081664	0.0	0.002166097	0.0	0.005705545	0.0	0.0	0.0	-0.035355396	0.056067305	1	0	2	2	2	0	1	6	7	5	0	1	3	2	1	13	1	1
hoz	-0.151742811	-0.005923339	-0.120952539	-0.086170252	-0.087122052	-0.018823464	-0.022529016	-0.122930066	0.006145117	0.002901604	0.054973387	0.005710801	-0.009351667	0.0	-0.007716049	0.005988024	0.001358394	-0.00154321	0.0	-0.00308642	-0.063604273	0.011467805	1	1	2	4	1	1	4	5	7	5	0	9	3	11	5	13	5	5
indul	-0.003200716	-0.057165474	-0.130727856	-0.100033433	-0.047410911	-0.049126809	0.012266952	-0.006750511	-0.011539294	0.01685907	-0.009277651	-0.020733362	-0.003259715	0.0	-0.005432859	-0.027429791	-0.037356435	-0.012950362	-0.001101322	-0.008810573	0.059284534	0.074265458	1	1	2	2	1	1	1	6	7	5	0	1	3	11	1	13	1	1
indít	-0.015697516	-0.016471016	0.014469014	-0.014560015	-0.107152607	-0.021794522	-0.009191009	-0.011420511	-0.020930021	-0.000773501	0.000546001	-0.012330512	-0.002639003	0.0	-0.0003185	-0.015834016	0.004686505	0.001046501	0.0	-0.002002002	-0.256074256	0.028983529	1	1	2	2	1	1	1	6	2	6	0	1	3	0	1	2	1	1
intéz	-0.497805628	-0.005498647	-0.207038639	-0.108234097	-0.013022869	0.118435961	0.012481791	0.002025574	-0.006159965	-0.342428377	-0.007524221	-0.008888478	-4.16214e-05	-0.002728513	-0.005457026	-0.002067195	-0.012278308	-0.002728513	0.0	0.0	-0.165657733	0.105695193	1	1	2	4	1	1	4	5	6	0	6	9	1	13	7	5	7	7
ismer	0.013303513	0.042611578	0.074101891	0.015836258	-0.003155847	0.13178893	-0.000522961	6.11976e-05	-0.006709477	0.003614828	-0.054500593	-0.005728925	-0.004534182	0.0	-0.004534182	0.004778973	0.000856766	0.001225342	0.0	0.001194743	0.004162824	-0.157105244	1	1	3	2	1	1	5	2	7	6	2	1	13	0	1	2	1	1
jut	-0.005234452	-0.13008722	-0.096019348	0.013073577	-0.125145663	0.011146747	-0.004970846	-0.074629645	-0.015180329	0.068045784	-0.059957698	0.031486212	-0.015891646	0.0	0.23287035	-0.00942285	-0.012320419	0.000617172	0.0	-0.006468795	-0.014780737	0.091065238	1	1	2	2	1	1	1	6	7	6	2	1	3	0	1	13	1	1
jár	-0.034522751	-0.049195107	0.134768118	-0.032317428	-0.001415579	-0.164234519	0.096472972	-0.047493928	0.004591941	-0.00165896	0.001500017	-0.019691453	-0.01689258	0.0	-0.024844659	-0.01523362	0.039827448	0.011446325	0.0	-0.003158977	0.190750555	-0.094332219	0	1	3	2	1	2	5	2	5	1	2	4	12	9	13	9	13	13
játszik	0.113737905	0.00720287	-0.29159915	-0.125417982	0.007600948	0.039962347	-0.000997537	0.004912751	0.001892041	0.003020709	0.001161451	-0.007867894	-0.010158014	-0.001128668	0.000796156	-0.024432622	-0.007502599	-0.033860045	0.004149378	-0.001128668	-0.038313835	0.149831871	1	1	2	2	1	1	1	6	7	5	0	1	3	11	5	13	5	1
jön	0.007297901	-0.0097139	-0.041765469	-0.029207091	0.029609758	-0.008256385	-0.001543555	-0.09512567	-0.028253769	-0.002264569	-0.031834748	-0.004236603	-0.007519884	-0.001386963	-0.001972034	0.010581182	-0.012775198	0.000655624	0.0	-0.000292536	-0.040242564	0.012233147	1	1	2	2	1	1	1	6	7	6	0	1	3	0	1	2	1	1
kap	-0.397326636	-0.005543237	-0.106225239	-0.050556425	-0.136211263	0.023460241	-0.017060561	-0.023281596	-0.029171614	-0.028824834	-0.035671126	-0.114842215	-0.003367976	0.0	-0.012999023	-0.04641082	-0.020911928	0.000152373	0.0	-0.009977827	-0.088749593	0.05467576	1	1	2	4	1	1	4	5	6	0	6	9	1	11	5	5	5	5
kel	-0.073792476	-0.011864985	0.081543357	0.098340721	-0.452199114	0.000221616	0.007279236	-0.007137175	-0.00472781	-0.007137175	0.050198886	0.009546539	0.004778952	0.0	0.019110126	0.140839868	-0.00952381	-0.066666667	0.0	0.004784635	0.107631549	-0.113649278	0	2	1	3	0	5	3	3	4	3	8	5	4	1	0	4	0	0
kerül	0.715715576	-0.021229323	-0.155682893	-0.130948797	-0.349886041	-0.036742783	-0.015119263	-0.401113787	0.002859723	-0.018892807	-0.002659041	-0.007984289	-0.00999828	0.0	-0.006231903	-0.008830022	-0.027658324	-0.014932915	0.0	-0.006102893	-0.208921046	0.03030303	0	0	0	1	2	0	0	0	0	10	1	7	2	5	9	12	9	9
kezd	0.192227443	0.004551637	-0.018569751	-0.037672715	0.015385923	-0.180241724	-0.013268523	-0.202667615	-0.029991345	-0.001120522	0.002094217	-0.003361565	-0.014164941	0.0	0.000216377	-0.011923897	-0.018971593	-0.017271491	0.0	0.0	-0.006777225	0.094718865	0	0	3	2	2	0	1	0	0	2	7	11	7	2	10	3	10	10
képzel	0.419141247	-0.106582077	0.101311566	0.045754728	-0.002130141	0.060498303	0.021289861	-0.027559055	-0.009882929	-0.001968504	-0.001968504	-0.001968504	0.011730205	0.0	-0.001968504	-0.001968504	0.068372319	0.0	0.0	0.0	0.035629344	0.03336643	0	0	0	1	2	0	5	0	0	2	7	11	7	2	2	3	2	2
kér	-0.022996137	-0.017201835	-0.070799131	0.014365041	-0.049734428	-0.008631096	-0.025591502	-0.018348624	-0.020098986	-0.069954128	-0.009777885	-0.09554563	0.002836794	-0.001146789	-0.010321101	0.260140029	-0.006880734	0.00313858	0.0	0.060055529	-0.104840657	0.124154998	1	1	2	2	1	1	1	6	2	6	0	1	3	0	1	2	1	1
készít	0.037251039	-0.01646926	0.021608932	0.023649356	0.020000961	-0.037010787	0.004187245	-0.002719993	-0.125409715	-0.011178572	-0.086840723	-0.002869293	0.002520928	0.0	0.012505105	0.001086281	0.010083711	-0.00138488	0.0	0.003806275	0.015190777	0.033666139	0	1	3	2	1	1	1	6	7	6	2	1	3	0	1	2	1	1
készül	0.001199304	-0.006474475	-0.007894471	-0.031089841	-0.25761703	0.006156679	0.014474879	-0.017843271	-0.046514326	-0.008886955	-0.042077785	-0.007757012	-0.004381053	0.0	0.020533192	0.001157688	0.002356992	-0.001102199	0.0	-0.001116071	0.028305337	0.027827381	0	1	2	2	1	1	1	6	2	6	2	1	3	0	1	1	1	1
költ	-0.016828784	0.006041533	0.022474841	0.020935007	-0.475522534	-0.00837232	-0.00429134	0.0	0.004266097	0.004266097	0.017754367	0.004266097	0.012613174	0.0	0.073609101	-0.00249066	0.001775437	-0.00249066	0.0	-0.0124533	0.057158965	-0.057646999	0	2	1	3	0	5	3	3	4	3	8	5	4	1	0	4	0	0
köszön	-0.547027027	-0.316324324	0.075243243	0.073297297	0.000864865	0.087351351	-0.026810811	0.002594595	-0.001081081	-0.001081081	-0.010810811	0.310918919	0.014918919	-0.001081081	0.008	0.0	0.014918919	0.024	0.0	0.0	0.028972973	0.121513514	1	1	2	4	4	3	2	1	6	0	6	6	1	8	11	16	11	11
követ	0.212985518	-0.002566452	0.093702923	-0.012919725	0.028143512	-0.026177553	-0.031912255	-0.007250293	-0.002566452	-0.002398053	0.012984996	-0.008308987	0.005181205	-0.00117096	-0.015390881	0.003288349	0.004178644	0.012263099	0.0	-5.6133e-05	0.200461335	0.063362392	0	0	3	2	2	0	5	0	5	2	7	11	7	2	13	9	13	13
küld	-0.062253296	0.112454858	0.030753968	0.04047689	-0.074464251	-0.018123093	-0.001926388	-0.090876165	-0.018772221	0.008373926	-0.020842082	0.003224644	-0.002454788	0.0	0.005968128	-2.44954e-05	-0.004717113	-0.003537835	0.0	0.000192464	-0.019279625	-0.012039487	1	1	3	2	1	1	1	2	2	6	2	1	13	0	1	2	1	1
