lemma	acc	dat	BAN	ON	RA	VAL	UL	BA	RÓL	HOZ	BÓL	TÓL	NÁL	VÁ	IG	ÉRT	KÉNT	KOR	SZOR	NKÉNT	ADP	ADV	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
von	0.082106311	-0.003294422	-0.016853456	-0.068674392	-0.021652084	0.015931866	-0.047562552	-0.2137031	0.087614669	-0.003262643	0.136300078	0.460975403	0.003230864	-0.003262643	-0.004925743	-0.006557064	-0.009787928	-0.001631321	0.0	0.0	-0.08917184	0.094945022	1	1	2	0	1	1	6	8	3	9	9	8	5	14	12	6	12	18
választ	-0.103503033	-0.091838128	-0.080309758	-0.092805751	-0.0715032	0.013831669	-0.068882306	-0.017942584	0.010192694	-0.007087988	-0.032207606	0.495348879	-0.005713726	-0.19138756	-0.002392344	-0.001196172	-0.007087988	-0.008373206	0.0	0.0	-0.164308951	-0.084892612	1	1	2	0	1	1	6	8	3	9	9	8	5	12	12	6	12	12
válik	-0.008203072	-0.023809524	-0.050608122	-0.081696628	-0.040748797	0.016079159	0.01754704	-0.003401361	-0.009336859	0.002001009	-0.027744013	0.195359649	0.025945592	-0.902760895	-0.007936508	0.0	-0.008203072	-0.003667925	0.0	0.0	-0.136178818	0.089931688	1	1	2	0	3	6	6	7	8	4	3	12	10	10	3	14	3	3
vállal	-0.120497089	0.01995136	-0.144353961	-0.039570198	0.007067737	-0.009173714	-0.036570974	-0.00373599	-0.00498132	-0.00373599	-0.024398036	-0.00996264	-0.00498132	0.0	-0.001727814	-0.044525438	-0.005972368	0.002744942	0.0	0.005489884	-0.078860034	0.094221278	1	1	2	4	1	1	4	5	7	5	0	1	3	11	5	13	5	5
vár	-0.049669604	-0.008810573	-0.065796098	-0.107819383	-0.235478288	-0.033464443	0.005380743	-0.037743864	-0.010210824	-0.001667716	-0.007174323	0.227690371	-0.01157961	0.0	-0.031670862	0.003838892	-0.005506608	-0.004137823	0.0	-0.003303965	-0.033259912	-0.025928257	1	1	2	0	1	1	6	6	3	9	2	8	5	14	1	1	1	18
végez	0.299309274	0.003691188	-0.041532925	-0.260688217	0.007026429	-0.071597137	0.032206167	-0.003222342	-0.012420519	0.00038574	0.01561934	-0.011649039	-0.002889915	0.0	0.005014622	0.002700181	-0.008426698	0.003691188	0.0	0.00768501	-0.033225399	0.021014998	0	0	0	1	2	0	0	0	0	10	7	11	7	2	10	3	10	10
árul	-0.252037037	0.014722222	-0.185648148	-0.198055556	-0.001574074	0.013888889	-0.043425926	-0.00462963	0.19537037	0.002962963	-0.000555556	-0.013888889	-0.003518519	0.001481481	-0.008611111	-0.099074074	-0.010092593	0.001481481	0.0	-0.009259259	-0.048888889	-0.025185185	1	1	2	4	1	1	4	5	6	0	0	9	1	11	5	5	5	5
ér	0.201323325	-0.007710858	0.092007295	0.013279978	-0.00733255	-0.047728643	-0.02201875	-0.045614035	-0.00618406	-0.01496654	0.00763399	0.001645867	0.014077289	-0.002339181	-0.001505697	0.000238138	-0.005133538	-0.015085609	0.0	0.001645867	0.023337554	0.064637969	0	0	3	2	2	0	5	0	5	2	7	11	7	2	13	9	13	13
ítél	0.03378355	-0.340577175	0.043331706	0.005663083	-0.534257087	-0.003235257	0.134478854	0.001303781	0.006431802	-0.001060445	-0.006449775	-0.004815556	-0.00081711	0.0	-0.006693111	-0.010171704	0.004310911	-0.00081711	0.0	0.0	-0.036304009	0.104209844	0	2	1	3	0	5	3	3	4	3	5	5	4	1	0	4	0	0
üt	-0.001062494	-0.022408964	0.062300782	0.048488361	-0.168695064	-0.011349367	0.039698638	-0.093837535	0.004249976	-0.009079494	-0.007678934	0.251955955	0.016903313	-0.022408964	-0.000676133	-0.009803922	-0.008403361	-0.00280112	0.0	-0.004201681	0.039746933	0.037235584	0	1	2	0	1	1	6	2	3	9	2	8	5	14	1	1	1	18
