level_0	ad	alszik	bocsát	bír	bírál	dönt	dől	enged	esik	felejt	fogad	foglal	fogy	fér	hagy	hangzik	határoz	helyez	helyezkedik	hisz	hoz	indul	indít	intéz	ismer	jut	jár	játszik	jön	kap	kel	kerül	kezd	képzel	kér	készít	készül	költ	köszön	követ	küld	lop	lát	látogat	marad	megy	mesél	mond	múlik	nevez	nyer	olvas	pusztul	pusztít	rabol	rendel	ront	szenved	számol	talál	tart	telik	temet	terjed	tesz	tér	tölt	tűnik	utasít	utazik	vesz	veszik	veszít	visel	visz	von	választ	válik	vállal	vár	végez	árul	ér	ítél	üt
költ	0	0	100	0	0	0	1	0	12	0	0	0	0	1	0	0	0	64	100	0	0	0	0	0	0	0	0	0	0	0	100	1	0	0	0	0	13	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	100	0	0	0	0	0	0	2	2	2	0	3	0	0	0	100	12
köszön	25	8	0	0	1	0	0	0	13	8	0	1	8	0	8	0	0	0	0	3	31	8	8	52	1	8	0	7	8	52	0	0	0	0	8	1	6	0	100	0	4	0	8	52	16	8	0	8	29	70	0	8	0	0	0	0	31	0	0	36	90	6	0	0	46	8	49	61	0	9	32	71	0	52	7	16	29	26	31	15	0	49	0	0	12
követ	2	15	0	54	73	1	84	93	13	15	92	65	15	84	14	85	1	30	0	30	0	14	14	0	73	14	85	19	16	0	0	16	79	60	15	76	17	0	0	100	27	100	15	0	7	15	56	15	2	1	62	16	85	20	96	98	0	93	57	0	0	25	76	87	0	0	0	16	0	10	0	1	60	0	18	7	0	0	0	5	52	0	100	0	15
küld	67	86	0	9	54	0	40	32	69	86	31	62	86	40	85	41	0	14	0	74	58	85	85	37	54	85	41	74	87	37	0	0	28	11	86	51	79	0	4	27	100	27	86	37	72	86	12	86	60	29	16	85	41	0	31	29	58	27	11	53	10	95	50	39	43	0	40	30	0	80	56	28	16	37	90	71	54	55	58	68	12	40	27	0	70
lop	2	15	0	54	73	1	84	93	13	15	92	65	15	84	14	85	1	30	0	30	0	14	14	0	73	14	85	19	16	0	0	16	79	60	15	76	17	0	0	100	27	100	15	0	7	15	56	15	2	1	62	16	85	20	96	98	0	93	57	0	0	25	76	87	0	0	0	16	0	10	0	1	60	0	18	7	0	0	0	5	52	0	100	0	15
lát	81	100	0	7	40	0	26	20	65	100	20	48	100	26	99	27	0	5	0	83	72	99	99	51	40	99	27	88	99	51	0	0	17	8	100	37	83	0	8	15	86	15	100	51	82	100	9	100	74	36	13	99	27	0	17	15	72	16	8	67	17	89	36	25	57	0	54	27	0	94	70	35	13	51	96	78	63	65	72	77	10	54	15	0	62
látogat	70	51	0	0	4	0	0	0	23	51	0	5	51	0	52	0	0	0	0	44	79	52	52	100	4	52	0	54	50	100	0	0	0	0	51	3	35	0	52	0	37	0	51	100	42	51	0	51	77	38	0	51	0	0	0	0	79	0	0	84	62	40	3	0	94	0	97	21	0	57	80	39	0	100	47	39	56	53	79	41	0	97	0	0	20
marad	72	82	0	5	32	0	19	12	81	82	12	40	82	19	83	19	0	4	0	66	63	83	83	42	32	83	19	72	82	42	0	0	9	4	82	29	68	0	16	7	72	7	82	42	100	82	5	82	63	27	6	81	19	0	9	7	63	8	5	58	7	74	28	17	48	16	45	24	0	79	62	26	6	42	80	96	81	81	63	95	7	45	7	0	78
megy	81	100	0	7	40	0	26	20	65	100	20	48	100	26	99	27	0	5	0	83	72	99	99	51	40	99	27	88	99	51	0	0	17	8	100	37	83	0	8	15	86	15	100	51	82	100	9	100	74	36	13	99	27	0	17	15	72	16	8	67	17	89	36	25	57	0	54	27	0	94	70	35	13	51	96	78	63	65	72	77	10	54	15	0	62
mesél	0	9	0	96	34	41	40	58	6	9	60	32	9	40	9	41	41	9	0	26	0	9	9	0	34	9	41	17	10	0	0	59	76	96	9	39	9	0	0	56	12	56	9	0	5	9	100	9	2	0	93	10	41	63	52	54	0	63	97	0	0	12	33	43	0	0	0	7	0	8	0	0	94	0	10	4	0	1	0	4	96	0	56	0	6
mond	81	100	0	7	40	0	26	20	65	100	20	48	100	26	99	27	0	5	0	83	72	99	99	51	40	99	27	88	99	51	0	0	17	8	100	37	83	0	8	15	86	15	100	51	82	100	9	100	74	36	13	99	27	0	17	15	72	16	8	67	17	89	36	25	57	0	54	27	0	94	70	35	13	51	96	78	63	65	72	77	10	54	15	0	62
múlik	81	74	0	2	16	0	4	4	44	74	4	22	74	4	75	5	0	0	0	64	98	75	75	77	16	75	5	76	73	77	0	0	2	2	74	12	57	0	29	2	60	2	74	77	63	74	2	74	100	39	2	74	5	0	2	2	98	2	2	93	39	63	13	5	83	0	80	21	0	80	96	40	3	77	70	60	71	66	98	62	4	80	2	0	41
nevez	49	36	0	0	15	0	8	3	24	36	3	18	36	8	36	8	0	0	0	25	41	36	36	38	15	36	8	31	35	38	0	0	1	0	36	12	32	0	70	1	29	1	36	38	27	36	0	36	39	100	1	36	8	0	1	1	41	1	0	44	76	31	12	6	38	0	37	82	0	37	40	99	2	38	33	27	32	27	41	26	1	37	1	0	23
nyer	0	13	0	91	39	34	46	64	8	13	67	37	13	46	12	47	34	10	0	30	0	12	12	0	39	12	47	20	14	0	0	52	83	95	13	46	13	0	0	62	16	62	13	0	6	13	93	13	2	1	100	14	47	56	58	60	0	69	94	0	0	16	38	49	0	0	0	9	0	11	0	1	97	0	14	5	1	2	0	5	89	0	62	0	8
olvas	80	99	0	8	39	0	25	21	64	99	21	47	99	25	98	26	0	4	0	84	72	98	98	51	39	98	26	89	98	51	0	0	18	9	99	36	82	0	8	16	85	16	99	51	81	99	10	99	74	36	14	100	26	1	18	16	72	17	9	67	17	88	35	24	57	0	54	27	0	93	70	35	14	51	95	77	63	64	72	76	11	54	16	0	61
pusztul	14	27	0	39	87	0	99	80	26	27	77	79	27	99	26	100	0	36	0	19	3	26	26	0	87	26	100	16	28	0	0	4	64	45	27	90	30	0	0	85	41	85	27	0	19	27	41	27	5	8	47	26	100	6	89	87	3	78	42	1	0	38	91	98	0	0	0	25	0	21	1	7	45	0	31	19	6	8	3	17	37	0	85	0	29
pusztít	0	0	0	65	2	78	6	21	0	0	23	1	0	6	0	6	78	2	0	15	0	0	0	0	2	0	6	7	0	0	0	96	39	60	0	4	0	0	0	20	0	20	0	0	0	0	63	0	0	0	56	1	6	100	16	18	0	26	62	0	0	0	1	8	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	65	0	20	0	0
rabol	4	17	0	50	77	0	88	91	16	17	88	69	17	88	16	89	0	33	0	26	0	16	16	0	77	16	89	18	18	0	0	12	75	56	17	80	20	0	0	96	31	96	17	0	9	17	52	17	2	1	58	18	89	16	100	98	0	89	53	0	0	28	80	91	0	0	0	18	0	11	0	1	56	0	21	9	1	2	0	7	48	0	96	0	19
rendel	2	15	0	52	75	1	86	91	14	15	90	67	15	86	14	87	1	32	0	28	0	14	14	0	75	14	87	19	16	0	0	14	77	58	15	78	18	0	0	98	29	98	15	0	7	15	54	15	2	1	60	16	87	18	98	100	0	91	55	0	0	26	78	89	0	0	0	18	0	10	0	1	58	0	19	7	0	0	0	5	50	0	98	0	17
ront	83	72	0	0	14	0	3	2	44	72	2	20	72	3	73	3	0	0	0	62	100	73	73	79	14	73	3	74	71	79	0	0	0	0	72	10	56	0	31	0	58	0	72	79	63	72	0	72	98	41	0	72	3	0	0	0	100	0	0	95	41	61	11	3	85	0	82	23	0	78	97	42	1	79	68	60	71	66	100	62	2	82	0	0	41
szenved	2	16	0	61	70	5	77	95	13	16	96	64	16	77	15	78	5	25	0	33	0	15	15	0	70	15	78	21	17	0	0	22	86	65	16	75	18	0	0	93	27	93	16	0	8	16	63	16	2	1	69	17	78	26	89	91	0	100	64	0	0	25	69	80	0	0	0	14	0	11	0	1	67	0	19	8	0	1	0	6	59	0	93	0	15
számol	0	8	0	97	34	40	41	59	6	8	61	31	8	41	8	42	40	10	0	25	0	8	8	0	34	8	42	16	9	0	0	58	77	97	8	40	8	0	0	57	11	57	8	0	5	8	97	8	2	0	94	9	42	62	53	55	0	64	100	0	0	11	33	44	0	0	0	6	0	7	0	0	93	0	9	4	0	1	0	4	93	0	57	0	6
talál	82	67	0	0	11	0	1	2	39	67	2	17	67	1	68	1	0	0	0	59	95	68	68	84	11	68	1	70	66	84	0	0	0	0	67	7	51	0	36	0	53	0	67	84	58	67	0	67	93	44	0	67	1	0	0	0	95	0	0	100	46	56	8	1	90	0	87	26	0	73	96	45	1	84	63	55	68	63	95	57	2	87	0	0	36
